manager_id,worker_type,text_type,raw_text
demo_r1,remote,performance_review,"Meets deadlines but requires consistent follow-up to confirm task completion."
demo_r2,remote,performance_review,"Reliable on deliverables; I'd like more proactive communication on blockers."
demo_r3,remote,performance_review,"Work quality is acceptable, though I often need to chase closure on open items."
demo_r4,remote,performance_review,"Technically competent but visibility into day-to-day progress remains a challenge."
demo_r5,remote,performance_review,"Produces solid output when given clear direction; independent initiative is limited."
demo_r6,remote,performance_review,"Consistently on time, though I find myself checking in more than I'd prefer."
demo_r7,remote,performance_review,"Good analytical skills; struggles to close the loop without reminders."
demo_r8,remote,performance_review,"Dependable contributor, but the lack of spontaneous updates makes oversight harder."
demo_r9,remote,performance_review,"Performance is adequate; would benefit from more structured status reporting."
demo_r10,remote,performance_review,"Gets the work done, though I'm never quite sure where things stand without asking."
demo_r11,remote,performance_review,"Solid technical execution; communication cadence needs improvement."
demo_r12,remote,performance_review,"Meets expectations narrowly; relationship-building with the broader team is limited."
demo_r13,remote,performance_review,"Completes assigned tasks but rarely flags potential issues before they escalate."
demo_r14,remote,performance_review,"Work is accurate but I invest significant time verifying completeness."
demo_r15,remote,performance_review,"Capable analyst who defaults to reactive rather than proactive communication."
demo_r16,remote,performance_review,"Deliverables arrive on time; I still feel I'm managing more closely than necessary."
demo_r17,remote,performance_review,"Competent but requires structured check-ins to stay fully aligned."
demo_r18,remote,performance_review,"Output meets the bar; I'd like to see more ownership of follow-through."
demo_r19,remote,performance_review,"Reliable in execution, less so in keeping stakeholders informed unprompted."
demo_r20,remote,performance_review,"Does the work assigned; the absence of proactive updates is a recurring concern."
demo_r21,remote,performance_review,"Technically sound; needs to develop habits around closing tasks without prompting."
demo_r22,remote,performance_review,"Meets deadlines consistently but I question depth of engagement between check-ins."
demo_r23,remote,performance_review,"Good core skills; follow-through on loose ends requires more manager involvement than ideal."
demo_r24,remote,performance_review,"On-time delivery is a strength; self-direction outside of assigned scope is not."
demo_r25,remote,performance_review,"Solid performer in structured tasks; ambiguous situations surface gaps in autonomy."
demo_r26,remote,performance_review,"Work is fine; the overhead of confirming completion falls on me too often."
demo_r27,remote,performance_review,"Competent contributor, though I'd grade collaboration with remote teammates as below average."
demo_r28,remote,performance_review,"Assignments completed accurately; initiative in identifying next steps is lacking."
demo_r29,remote,performance_review,"Acceptable output; I rely on status meetings to understand where projects actually stand."
demo_r30,remote,performance_review,"Dependable when tasks are explicit; comfort with undefined work is limited."
demo_r31,remote,performance_review,"Meets the minimum bar consistently; I expect more self-management at this level."
demo_r32,remote,performance_review,"Good at executing defined work; gaps appear when scope requires judgment calls."
demo_r33,remote,performance_review,"I've had to follow up on deliverable status more than once per cycle this quarter."
demo_r34,remote,performance_review,"Technically proficient but the communication burden sits unevenly on my side."
demo_r35,remote,performance_review,"Reliable output; not yet demonstrating the proactivity I'd expect from a mid-level analyst."
demo_r36,remote,performance_review,"Solid on structured tasks; needs coaching to develop a stronger ownership mindset."
demo_r37,remote,performance_review,"Work product is accurate; the loop rarely gets closed without my involvement."
demo_r38,remote,performance_review,"Functional performer; I invest more oversight time here than with comparable peers."
demo_r39,remote,performance_review,"Completes tasks adequately; relationship visibility with cross-functional partners is low."
demo_r40,remote,performance_review,"Gets assigned work done; I have limited confidence in what happens between our syncs."
demo_r41,remote,performance_review,"Technically capable; task hygiene and follow-through are areas needing development."
demo_r42,remote,performance_review,"Meets deadlines but the quality of stakeholder updates leaves something to be desired."
demo_r43,remote,performance_review,"Good analyst on well-scoped work; edges get rough when deliverables are ambiguous."
demo_r44,remote,performance_review,"Consistent delivery is a plus; closing open items without reminders remains a gap."
demo_r45,remote,performance_review,"Acceptable performance overall; I'd like to see less hand-holding at this career stage."
demo_r46,remote,performance_review,"On-time and accurate; not yet operating with the autonomy I expect from this level."
demo_r47,remote,performance_review,"Delivers what's asked; occasionally needs a nudge to finalize and communicate completion."
demo_r48,remote,performance_review,"Strong technical skills undercut slightly by inconsistent follow-through habits."
demo_r49,remote,performance_review,"Work is satisfactory; I carry more coordination overhead for this person than I'd prefer."
demo_r50,remote,performance_review,"Meets expectations on output; communication and closure discipline need improvement."
demo_ip1,in_person,performance_review,"Alex is a reliable presence on the team who consistently delivers and supports teammates."
demo_ip2,in_person,performance_review,"Great contributor — I trust Alex to run with projects and represent the team well."
demo_ip3,in_person,performance_review,"Solid performer who brings good energy to the office and keeps work moving forward."
demo_ip4,in_person,performance_review,"Alex is dependable, collaborative, and a pleasure to have on the team."
demo_ip5,in_person,performance_review,"Consistently meets deadlines and is always willing to help others when needed."
demo_ip6,in_person,performance_review,"Strong team player with good instincts — I rarely need to follow up on anything."
demo_ip7,in_person,performance_review,"Alex has grown a lot this year and is becoming someone the team relies on."
demo_ip8,in_person,performance_review,"Delivers quality work and communicates proactively when something needs attention."
demo_ip9,in_person,performance_review,"Excellent attitude and solid execution — one of the more dependable folks on the team."
demo_ip10,in_person,performance_review,"Alex handles responsibility well and I trust the output without needing to double-check."
demo_ip11,in_person,performance_review,"Good analyst who takes ownership and sees things through without being prompted."
demo_ip12,in_person,performance_review,"Reliable, engaged, and easy to work with — a genuine asset to the group."
demo_ip13,in_person,performance_review,"Alex is someone I'd recommend for stretch projects; handles pressure gracefully."
demo_ip14,in_person,performance_review,"Consistent quality work and a positive presence that lifts the broader team."
demo_ip15,in_person,performance_review,"Strong execution this period; Alex is growing into a natural go-to for the team."
demo_ip16,in_person,performance_review,"Dependable and thoughtful — I appreciate that Alex flags issues early rather than late."
demo_ip17,in_person,performance_review,"Alex delivers on commitments and brings good judgment to ambiguous situations."
demo_ip18,in_person,performance_review,"One of the steadier contributors on the team; work quality is reliably high."
demo_ip19,in_person,performance_review,"Good communicator and strong executor — the combination makes Alex easy to manage."
demo_ip20,in_person,performance_review,"Alex has earned a lot of trust this year through consistent, high-quality delivery."
demo_ip21,in_person,performance_review,"Proactive, reliable, and collaborative — exactly what I look for at this level."
demo_ip22,in_person,performance_review,"Alex is engaged and takes initiative; work often exceeds the initial brief."
demo_ip23,in_person,performance_review,"Strong teammate who contributes beyond the immediate role when the team needs it."
demo_ip24,in_person,performance_review,"Good analyst with sound judgment; I'm comfortable giving Alex increased autonomy."
demo_ip25,in_person,performance_review,"Alex is diligent and thorough — rarely a delivery I need to scrutinize closely."
demo_ip26,in_person,performance_review,"Solid mid-level performer trending upward; the team notices and appreciates it."
demo_ip27,in_person,performance_review,"Alex takes feedback well and applies it quickly, which makes coaching straightforward."
demo_ip28,in_person,performance_review,"Dependable and pleasant to work alongside — the office dynamic improves when Alex is around."
demo_ip29,in_person,performance_review,"Good execution paired with genuine care for teammates; a strong cultural fit."
demo_ip30,in_person,performance_review,"Alex brings consistency and follow-through that I rely on across multiple workstreams."
demo_ip31,in_person,performance_review,"Reliable performer with a collaborative spirit; contributes meaningfully in team settings."
demo_ip32,in_person,performance_review,"Alex is someone I actively want involved in high-visibility work — trust is well established."
demo_ip33,in_person,performance_review,"Good instincts, strong delivery, and a positive attitude — hard to ask for much more."
demo_ip34,in_person,performance_review,"Alex meets deadlines and goes out of the way to keep stakeholders informed."
demo_ip35,in_person,performance_review,"One of the more mature performers at this level; I rarely need to course-correct."
demo_ip36,in_person,performance_review,"Solid work ethic and good judgment; Alex is building a strong track record."
demo_ip37,in_person,performance_review,"Alex closes the loop without being asked and that makes a real difference day-to-day."
demo_ip38,in_person,performance_review,"Reliable contributor who I'd feel comfortable representing the team externally."
demo_ip39,in_person,performance_review,"Alex is engaged, delivers well, and is a net positive on team morale."
demo_ip40,in_person,performance_review,"Strong analytical skills paired with good communication — a combination that stands out."
demo_ip41,in_person,performance_review,"Alex handles ambiguity well and uses good judgment when direction isn't fully defined."
demo_ip42,in_person,performance_review,"Consistent performer who brings reliability and warmth to every project."
demo_ip43,in_person,performance_review,"Alex is building real credibility on the team through steady, quality output."
demo_ip44,in_person,performance_review,"Good at balancing thoroughness with speed; deliverables are timely and polished."
demo_ip45,in_person,performance_review,"A trusted contributor who I feel good delegating to without close oversight."
demo_ip46,in_person,performance_review,"Alex is exactly the kind of mid-level analyst who makes a manager's life easier."
demo_ip47,in_person,performance_review,"Reliable, thoughtful, and engaged — the full package at this stage of the career."
demo_ip48,in_person,performance_review,"Alex demonstrates strong ownership and follows through in ways that build real trust."
demo_ip49,in_person,performance_review,"Good performer with a collaborative mindset that extends beyond immediate assignments."
demo_ip50,in_person,performance_review,"Alex brings care and competence to the work; the team is stronger for having them."
